repo,path,role,note,tags
auto,proofs/ASTExtractor.lean,lean-info-tree-export,Lean-native environment/syntax extraction entrypoint.,Lean;InfoTree;syntax;environment
auto,proofs/ExtractBraid.lean,lean-extraction,Lean extraction helper used for braid/graph export.,Lean;syntax;graph
auto,proofs/RunExtractor.lean,lean-extraction,Wrapper for running the Lean extractor.,Lean;InfoTree;CLI
auto,proofs/fast_extract.py,lean-extraction,Fast Python-side extractor/runner.,Python;extractor
auto,proofs/python_arango_ingest.py,arango-ingest,Python ingest bridge into ArangoDB.,Python;Arango;ingest
auto,proofs/scripts/gepa_optimize.py,graph-optimization,GEPA optimization layer for the graph pipeline.,Python;GEPA;graph
auto,proofs/scripts/ingest_to_arango.py,arango-ingest,Legacy ingest-to-Arango wrapper.,Python;Arango;ingest
auto,proofs/tools/ExtractGraph.lean,lean-info-tree-export,Authoritative Lean module-graph extractor.,Lean;graph;environment
auto,proofs/tools/lean_graph/DumpLeanGraph.lean,lean-info-tree-export,Lean syntax/env dump for JSONL graph ingestion.,Lean;syntax;InfoTree
auto,proofs/tools/lean_graph/aql_query.py,aql-query,Small stdlib AQL client for live queries.,Python;AQL;Arango
auto,proofs/tools/lean_graph/bridge_syntax_env.py,syntax-env-bridge,Builds syntax/env bridge records.,Python;bridge;syntax;environment
auto,proofs/tools/lean_graph/check_dump_shape.py,validation,Validates Lean dump shapes before ingest.,Python;validation;syntax
auto,proofs/tools/lean_graph/export_bdg_kms_certificate.py,graph-export,Exports BDG/KMS audit certificate from graph data.,Python;Arango;certificate
auto,proofs/tools/lean_graph/export_chiral_certificate.py,graph-export,Exports chiral certificate from graph data.,Python;Arango;certificate
auto,proofs/tools/lean_graph/export_spine_dot.py,graph-export,Exports subgraph/spine DOT visualizations.,Python;graph;DOT
auto,proofs/tools/lean_graph/import_arango.py,arango-ingest,Imports syntax/env bridge records into ArangoDB.,Python;Arango;graph;ingest
auto,proofs/tools/lean_graph/import_module_graph_arango.py,graph-import,Imports the Lean module import graph into ArangoDB.,Python;Arango;module-graph
auto,proofs/tools/lean_graph/ingest_bridge_to_arango.py,arango-ingest,Bridge-record ingest into ArangoDB.,Python;Arango;bridge
auto,proofs/tools/lean_graph/ingest_syntax_to_arango.py,arango-ingest,Syntax-tree ingest into ArangoDB.,Python;Arango;syntax
auto,proofs/tools/lean_graph/join_syntax_env.py,syntax-env-bridge,Joins syntax JSONL and environment JSON.,Python;bridge;join
auto,proofs/tools/lean_graph/normalize_syntax_index.py,validation,Normalizes syntax indexing for downstream ingest.,Python;syntax;normalization
auto,ui/dump_graph.py,graph-visualization,Frontend graph dump/loader helper.,Python;UI;graph
info-geometry-lean,find_scc.py,graph-analysis,Strongly connected components on the graph.,Python;graph;SCC
info-geometry-lean,lean/DAG/BlockExport.lean,lean-arango-export,Block-level export for the DAG pipeline.,Lean;graph;export
info-geometry-lean,lean/DAG/ExprArangoExport.lean,lean-arango-export,Exports Lean expressions to Arango-shaped data.,Lean;Arango;Expr
info-geometry-lean,lean/DAG/GroundTruthHarvester.lean,lean-graph-harvest,Harvester for ground-truth graph facts.,Lean;graph;harvest
info-geometry-lean,lean/DAG/HolonomyExporter.lean,lean-graph-export,Holonomy-oriented export layer for the DAG.,Lean;graph;export
info-geometry-lean,lean/DAG/Indexer.lean,lean-indexer,Index builder for graph/export artifacts.,Lean;index;graph
info-geometry-lean,lean/DAG/RawInfoTreeExport.lean,lean-info-tree-export,Raw InfoTree export layer.,Lean;InfoTree;export
info-geometry-lean,lean/DAG/ServerExport.lean,lean-graph-export,Server-side export layer for graph serving.,Lean;server;graph
info-geometry-lean,lean/InfoGeometry/Meta/Architecture.lean,lean-meta,Repository architecture/graph meta layer.,Lean;meta;architecture
info-geometry-lean,lean/InfoGeometry/Meta/HiveLogos.lean,lean-meta,Hive/logos metadata tied to the graph pipeline.,Lean;meta;hive
info-geometry-lean,list_collections.py,arango-admin,Lists Arango collections.,Python;Arango;admin
info-geometry-lean,query_arango.py,arango-query,ArangoDB query helper.,Python;Arango;query
info-geometry-lean,query_dag.py,graph-query,DAG query helper.,Python;graph;query
info-geometry-lean,run_arango_query.py,arango-query,AQL query runner.,Python;Arango;AQL
