# module | reason
InfoGeometry.Canonical.AQFTOperatorInterface | downgraded to a preparation layer, but still only packages readiness certificates beside compression/interpretation surrogates
InfoGeometry.Canonical.AnomalyDilationBridge | bridge theorem layer depends on quarantined conformal synthesis and cannot yet live on the stable surface
InfoGeometry.Canonical.BeliefDynamics | finite scaffold hardcodes identity transport and metric replacement semantics
InfoGeometry.Canonical.BerryPhase | canonical bridge remains on the vacuity quarantine surface
InfoGeometry.Canonical.CalabiYauBridge | closure state stores the Ricci-flat/constant-density witness it later reprojects
InfoGeometry.Canonical.ChiralAction | canonical bridge remains on the vacuity quarantine surface
InfoGeometry.Canonical.ChiralCliffordBridge | torsion/chiral bridge packages caller-supplied witnesses into theorem-shaped interfaces
InfoGeometry.Canonical.ConformalWard | Ward identity is baked into the definition of the variation
InfoGeometry.Canonical.DiracRicciBridge | bridge uses constant/zero trajectory surrogates in its canonical API
InfoGeometry.Canonical.GrandSynthesis | capstone package depends on quarantined vacuous bridge modules
InfoGeometry.Canonical.GrandUnificationBlueprint | grand-unification identity is promoted from tautological anomaly cancellation
InfoGeometry.Canonical.HolographicEmergence | vacuum-apex twistor closure is driven by a zero quadratic form surrogate
InfoGeometry.Canonical.MasterSynthesis | synthesis theorem repackages supplied witnesses and degenerate path choices
InfoGeometry.Canonical.PositiveRayProjectiveBridge | canonical positive-ray/projective layer is only a namespace lift over RelativePotentialDiscreteBridge with no unique constructive load
InfoGeometry.Canonical.RedLine | red-line synthesis remains on the vacuity quarantine surface
InfoGeometry.Canonical.Rosetta | rosetta facade remains on the vacuity quarantine surface
InfoGeometry.Canonical.SUSYBayes | canonical SUSY/Bayesian facade is theorem-shaped packaging over lower Fock/Fierz/Bogoliubov statements with no unique constructive load
InfoGeometry.Canonical.WilsonLoop | canonical Wilson-loop surface is only a facade/API layer with definitional wrapper theorems and no unique constructive load
InfoGeometry.Prequantum.Connection | scalarized covariant-derivative interface is mostly readback from stored prequantum bundle data plus universal Weyl scaling packaging
InfoGeometry.Prequantum.Quotient | quotient layer is a thin descent wrapper over the quarantined scalarized connection interface
InfoGeometry.Projective.TwistorBridge | twistor bridge is discharged by `zeroNullQuadraticForm := 0` and a scaled-zero anomaly form
InfoGeometry.Unstable.YangMillsBridge | bridge stores QFT obligations and later projects them out

InfoGeometry.Canonical.ChiralTorsionRelativeVolume | imports quarantined BeliefDynamics and still sits on the review-surface facade path
InfoGeometry.Canonical.CuntzCanonicalKMSFunctional | legacy owner depends on the missing Algebra.CuntzAlgebra and assumes a diagonal coefficient projection absent from the native quotient API
InfoGeometry.Canonical.SplitG2HodgeWedgeCharacterization | Hodge wedge characterization requires explicit metricStar34 basis-action theorems not present in the native owner; former file contained sorry-based zero and uniqueness wrappers
InfoGeometry.Exploration.Symphony.Basic | exploratory symphony lane is intentionally outside the authoritative `InfoGeometry.All` coverage spine
InfoGeometry.Canonical.BerryHolonomy | imports the quarantined BerryPhase owner and therefore remains outside the stable authority surface
InfoGeometry.Canonical.SouriauBerryPhaseMonodromyBridge | imports the quarantined BerryPhase owner and remains a dependent quarantine surface
InfoGeometry.Canonical.CalabiYauGrandDualityBridge | imports the quarantined CalabiYauBridge owner and remains a dependent quarantine surface
InfoGeometry.Canonical.OperatorObservationPrequantumBridge | imports the quarantined Prequantum.Quotient surface and remains a dependent quarantine surface
InfoGeometry.Canonical.StandardSplitQuaternionCalibrationBridge | imports the quarantined SplitG2HodgeWedgeCharacterization owner and remains a dependent quarantine surface
InfoGeometry.Quantum.DoubleCopyBridge | imports the quarantined ChiralAction owner and remains a dependent quarantine surface
InfoGeometry.Canonical.CheegerMullerAnalyticTorsionBridge | imports the quarantined SouriauBerryPhaseMonodromyBridge owner and remains a dependent quarantine surface
InfoGeometry.Canonical.ExpectationBilinearCommutantCorrespondence | imports the quarantined OperatorObservationPrequantumBridge owner and remains a dependent quarantine surface
